                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0375,                 0.7457,                 1.2284,                 1.1159,                0.86684,                 1.2345,                0.83795,                0.76611,                0.88351,                0.59013,                 1.0735,                0.64094,                 1.3476,                  1.099,                0.66785,                 1.3356,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.0558,                0.74052,                 1.2172,                 1.1518,                0.88306,                 1.2175,                0.82996,                0.80387,                0.87943,                0.59319,                 1.0826,                0.63122,                 1.3516,                 1.1042,                0.68617,                 1.3496,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0074,                0.70906,                 1.2213,                 1.1057,                0.83111,                 1.2221,                0.82573,                 0.8096,                0.87176,                0.58963,                  1.068,                0.63732,                 1.3364,                 1.0626,                0.68044,                 1.3058,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0207,                0.74499,                 1.1981,                 1.1231,                0.80299,                 1.2024,                0.88512,                0.78869,                0.88242,                0.60093,                 1.0701,                0.60389,                 1.3433,                 1.0803,                0.63411,                 1.3307,             0.00084184,             0.00084184,             0.00084184
                     28,                0.99491,                0.67239,                 1.2087,                 1.0812,                0.78506,                 1.2112,                0.83777,                0.78162,                0.88434,                 0.5727,                 1.1486,                0.64657,                 1.3962,                 1.1648,                0.70313,                 1.3937,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0177,                0.68298,                 1.1938,                 1.1056,                0.76663,                 1.1981,                0.83176,                0.79246,                0.88292,                0.59214,                 1.1044,                0.59245,                 1.3631,                 1.1231,                0.64583,                 1.3459,             0.00077582,             0.00077582,             0.00077582
                     30,                 0.9846,                0.68368,                 1.1896,                 1.0843,                0.79006,                 1.1914,                0.85972,                0.81381,                0.88744,                0.60508,                 1.0856,                0.56619,                 1.3613,                 1.1112,                0.59359,                 1.3565,             0.00074282,             0.00074282,             0.00074282
                     31,                0.97458,                0.66511,                 1.1871,                 1.0682,                0.76341,                 1.1871,                0.88424,                 0.7623,                0.88957,                0.59691,                 1.0672,                0.58844,                 1.3587,                 1.0759,                0.60365,                 1.3395,             0.00070981,             0.00070981,             0.00070981
                     32,                0.97111,                0.63806,                 1.1923,                 1.0517,                0.73579,                 1.1973,                0.83801,                0.83369,                0.90774,                0.61247,                 1.0491,                0.56987,                  1.332,                 1.0813,                0.59075,                 1.3471,              0.0006768,              0.0006768,              0.0006768
                     33,                 0.9885,                0.66389,                  1.181,                 1.0809,                0.76978,                 1.1845,                 0.8784,                0.80849,                0.90527,                0.60819,                  1.064,                0.56468,                 1.3365,                 1.0867,                0.57102,                 1.3428,              0.0006438,              0.0006438,              0.0006438
